Employee_ID,First_Name,Last_Name,SSN,Department,Position,Annual_Salary,Hourly_Rate,YTD_Gross,Federal_Tax,State_Tax,FICA,Medicare,Net_Pay,Bank_Account,Routing_Number
TC-2024-0001,Michael,Johnson,123-45-6789,Engineering,Senior Developer,125000,,95833.33,19166.67,4791.67,5941.67,1390.83,64543.49,****1234,021000021
TC-2024-0002,Sarah,Williams,234-56-7890,Marketing,Marketing Manager,95000,,72916.67,14583.33,3645.83,4520.83,1057.29,49109.39,****5678,121000248
TC-2024-0003,David,Brown,345-67-8901,Sales,Account Executive,85000,,65208.33,13041.67,3260.42,4042.92,945.02,43918.30,****9012,111000025
TC-2024-0004,Lisa,Davis,456-78-9012,HR,HR Director,110000,,84583.33,16916.67,4229.17,5244.17,1226.46,56966.86,****3456,026009593
TC-2024-0005,Robert,Miller,567-89-0123,Finance,Financial Analyst,78000,,59916.67,11983.33,2995.83,3714.83,868.79,40354.89,****7890,053000196
TC-2024-0006,Jennifer,Wilson,678-90-1234,Engineering,DevOps Engineer,135000,,103750.00,20750.00,5187.50,6432.50,1504.38,69875.62,****2345,071000013
TC-2024-0007,James,Moore,789-01-2345,Operations,Operations Manager,105000,,80625.00,16125.00,4031.25,4998.75,1169.06,54301.94,****6789,091000019
TC-2024-0008,Amanda,Taylor,890-12-3456,Legal,Legal Counsel,145000,,111458.33,22291.67,5572.92,6910.42,1616.15,75067.17,****0123,101000187
TC-2024-0009,Christopher,Anderson,901-23-4567,Engineering,Junior Developer,68000,,52291.67,10458.33,2614.58,3240.08,758.23,35220.45,****4567,111000025
TC-2024-0010,Michelle,Thomas,012-34-5678,Customer Success,Customer Success Manager,92000,,70666.67,14133.33,3533.33,4381.33,1024.67,47594.01,****8901,121000248
